日付,キャンペーン名,広告グループ名,ターゲティング,マッチタイプ,カスタマーの検索キーワード,インプレッション,クリック,クリックスルー率 (CTR),平均クリック単価 (CPC),費用,広告がクリックされてから7日間の総売上高,広告費売上高比率（ACOS）合計,広告費用対効果（ROAS）合計,広告がクリックされてから7日間の合計注文数,広告がクリックされてから7日間の合計販売数,広告がクリックされてから7日間のコンバージョン率,広告がクリックされてから7日間の広告された SKU の販売数,広告がクリックされてから7日間のその他の SKUの販売数,広告がクリックされてから7日間の広告された SKU の売上,広告がクリックされてから7日間のその他の SKU の売上
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0bbzhrjrb,72,1,1.3889%,¥151.60,¥151.60,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0bywnbh5d,183,8,4.3716%,¥133.69,"¥1,069.54",¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0c6jp8ylc,366,1,0.2732%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0c851wqfj,369,5,1.3550%,¥120.00,¥600.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0cngr9d38,46,1,2.1739%,¥183.00,¥183.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0cp66lcn5,67,1,1.4925%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0cq2nvcds,13,1,7.6923%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0d1bph4yw,5,1,20.0000%,¥141.00,¥141.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0dchxmsng,68,1,1.4706%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
"Apr 06, 2025",美容液 - 2025/3/30 1:29:14.608,0330　アゼライン酸　美容液,"asin-expanded=""B09M2XFRCF""",-,b0ddnly9hx,169,1,0.5917%,¥120.00,¥120.00,¥0.00,,0.00,0,0,0.0000%,0,0,¥0.00,¥0.00
